call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
229,36.992984734524576,22.798086711686597,0.0,0.0,960.0,640.0,540.0,360.0,0.201,1.7942000000000007,23.2,14.000000000000002,265597.7549133914,129677.65862285507,50.296105600000004,53.4875568,0.016800000000000002,0.04720000000000001,141.94738560794033,162.68702857142884,18355.74802476566,15712.023144681909,537.1239215686275,462.8914728682166,20.999432102405706,37.80487889502113,114017.16788596183,237278.97234156248,640.0,960.0,10.400000000000002,29.0,62.1452158,115.5706352,183.16693481781374,188.1532906318084,0.5395326,0.5171874,0.0,0.0,0.0390625,0.0,0.4815432,0.516757,0.6764553999999999,0.4906558,60585.5053062,103136.99049600001
230,86.18855476346911,37.58176950726144,0.0,0.0,1280.0,960.0,720.0,540.0,0.0,1.5,29.0,11.400000000000002,653952.995789658,293105.9237101155,69.1309308,67.6349066,0.022,0.04000000000000001,156.13473591397843,315.78219655172364,14908.2794564879,8268.464991960367,156.21913043478253,310.27,51.99283921276787,89.14082192688387,380354.28320431337,668903.8342951027,960.0,1280.0,16.4,29.0,82.4143006,62.70066,158.67306531713908,63.242958478081114,0.8627596,0.8435944,0.040625000000000036,0.0,0.0,0.0,0.9154512,0.8319335999999999,0.8102754,0.808179,60502.7089674,102983.84179199999
231,162.65440411324067,156.8493986062031,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.3,30.0,1387321.3057659436,1341124.7858756052,25.1914731,35.4202936,0.011,0.012,39.02573333333331,64.22899139784946,13460.808694682373,6301.690481816578,57.7426086956522,52.73999999999997,162.85061489988493,161.81054212037205,1386328.8444541509,1360199.5778475243,1280.0,1280.0,30.0,30.0,0.8426153,0.5346972999999999,0.00108421960135177,0.0008230579150581,0.5712235999999999,0.5742153,0.0,0.0,0.0,0.0,0.5711288999999999,0.5788925,0.5937666,0.5828722,60390.4435974,102742.313136
232,42.19309235317513,11.402002780254431,0.0,1.0,640.0,960.0,360.0,540.0,0.0,2.568400000000001,29.0,12.600000000000001,258794.25096700614,80285.47037001183,62.1964666,63.412558,0.0158,0.07260000000000001,148.6746662365592,192.916275,4568.622864614073,25312.901658616745,198.63945578231304,356.32615384615366,17.40254127086784,44.202972466686944,111584.23993390558,273557.8722317744,960.0,640.0,8.4,30.0,90.9716724,24.741411199999998,310.9001684210521,46.23260869565217,0.7417724,0.638837,0.0,0.0,0.0,0.0,0.6960724,0.7127384,0.9017028,0.715213,60493.407924600004,102436.552416
233,39.40998924690799,140.1997366130042,0.0,14.0,640.0,1280.0,360.0,720.0,0.0,0.512,25.0,27.8,238567.09524619224,1156826.9810235787,61.08233440000001,197.7282246,0.016600000000000004,0.026,136.85046,319.04928215053746,14527.980945582285,23265.10565546805,191.67999999999998,220.6432653061225,135.78196452167575,41.013326100241144,1114647.7340944605,260915.62594245683,1280.0,640.0,30.0,26.0,52.8831848,31.4653812,22.031174795574803,61.62612722222223,0.01778899999999996,0.36730640000000003,0.0,0.0,0.0078125,0.0,0.0176452,0.3408141999999999,0.0174622,0.33866899999999994,60266.3348196,102707.654496
234,87.40274280408727,42.38010549262636,0.0,0.0,1280.0,960.0,720.0,540.0,0.0,1.1652000000000005,29.0,16.2,667036.1304394745,314999.15009692666,78.4189482,72.88572459999999,0.022,0.0356,159.4911483870968,274.022211111111,20558.694197372984,20405.059854434072,166.87999999999994,311.29230769230776,42.02318029464345,88.18126667809338,316828.6673398385,679474.6355267555,960.0,1280.0,17.4,30.0,99.5165954,53.586072800000004,157.86790006359985,65.34764716981132,0.47382459999999993,0.47030659999999996,0.0,0.0,0.0,0.0,0.4460876,0.44724439999999993,0.4561094,0.4592433999999999,60771.2563584,102653.770848
235,155.08646033818277,161.8955280930702,0.0,0.0,1280.0,1280.0,720.0,720.0,0.225,0.0,29.3,29.0,1307592.2555283925,1363770.9720161355,24.5340896,36.4348898,0.009699999999999999,0.015,38.737463440860175,57.53669666666665,21021.204708048353,21564.23438076654,47.24545454545444,39.93617021276596,164.26935547267112,162.6567358877222,1411939.9227975646,1399175.331205609,1280.0,1280.0,30.0,30.0,3.3478017,1.6264775,0.8559439438339442,0.00081094373865639,0.4216566,0.42120519999999995,0.0,0.0,0.0,0.0,0.4246337999999999,0.4206646,0.422313,0.42059309999999994,60633.8086536,102785.877648
236,157.08059440592805,158.9249764791897,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,30.0,1327008.857434559,1335931.644326097,40.533374,30.912055,0.013,0.014,73.82476666666662,47.664966666666686,21199.672572842974,17683.764767323788,39.39999999999994,78.79999999999995,158.1033590818888,155.06532679377665,1333217.2058181425,1309663.7425139004,1280.0,1280.0,30.0,29.0,0.649033,1.906319,0.0012107843137254,0.0007722222222216,0.7751009999999999,0.774048,0.0,0.0,0.0,0.0,0.7751009999999999,0.772949,0.7757569999999999,0.77272,60786.577404,103556.35248
237,160.04900505079542,169.8314838861179,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.0,1337966.4288534804,1445453.3550485892,26.2573875,42.4500154,0.0127,0.01185,44.96309086021504,66.36546333333332,16544.884386433136,10712.510644701406,31.263225806451647,40.87,162.95014029980257,166.22968352023955,1381748.354640484,1415913.2550624986,1280.0,1280.0,30.0,30.0,5.2423866,2.5515204,2.15193083668728,0.00079053981595527,0.2736205,0.2709196,0.0,0.0,0.0,0.0,0.2751953,0.26976839999999996,0.2731031,0.2736732,60658.4727252,102450.257976
238,72.97192557018741,59.58842109379066,0.0,0.0,1280.0,960.0,720.0,540.0,0.0,2.2410000000000005,18.2,15.4,531666.4255760806,480704.99168886745,47.8735492,64.868318,0.03380000000000001,0.03980000000000001,159.262220229885,303.92153601830665,18112.633295057884,13866.639070715737,300.08000000000004,242.56094929881343,54.61169616258969,66.31685038128052,398274.9031253422,524600.692596383,960.0,1280.0,19.6,20.4,110.2380058,105.7784606,89.1546115732368,100.32106866400495,0.7153322000000001,0.6190032,0.0,0.0,0.0,0.0,0.6711212,0.576877,0.6104858,0.6236693999999999,60413.501723400004,103059.104448
