
Inbound Video
Ellen-totalProcessingDelay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.546701,1.0317429999999999,1.877939,2.8793189999999997,3.973686,5.136409,6.2320459999999995,7.335503,8.410252,9.536230999999999,10.606919999999999,11.754608,13.005047,-1,-1,-1,-1,-1,-1,-1
Aadya-totalProcessingDelay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.395704,0.785609,1.602088,2.6028759999999997,3.727556,4.92579,6.1335869999999995,7.273795,8.429181999999999,9.600795,10.762089,11.904078,13.057333,-1,-1,-1,-1,-1,-1,-1
Ellen-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,0.007,0.01,0.01,0.009,0.009,0.009,0.01,0.011,0.01,0.01,0.009,0.01,-1,-1,-1,-1,-1,-1,-1
Aadya-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.009,0.007,0.01,0.01,0.009,0.009,0.01,0.011,0.01,0.009,0.009,0.01,0.011,-1,-1,-1,-1,-1,-1,-1

Inbound Audio
Ellen-[bytesReceived_in_bits/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.12904631872,24971.620490803714,25793.69267411791,30201.533980901804,18815.756338765557,9409.390891636089,11264.442574166369,1539.4946195732832,7295.1133077346685,25199.130572486894,8759.696226073534,12997.171842528625,9152.248755540402,1119.574250953133,14324.12540603107,-1,-1,-1,-1,-1,-1,-1
Aadya-[bytesReceived_in_bits/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24813.880593612204,32189.1802865728,30975.865095345594,29541.37992445662,33413.05675507106,32323.87749783895,32573.269382421073,32300.79967678585,32874.3675064283,26038.39860109156,4540.884187533445,18818.1801039352,1967.9746631069643,4632.476025859629,-1,-1,-1,-1,-1,-1,-1

Outbound Video
