call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits/s_ellen,IT01V_bytesReceived_in_bits/s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay/emissions_ellen,IT01V_jitterBufferDelay/emissions_aadya,IT01A_bytesReceived_in_bits/s_ellen,IT01A_bytesReceived_in_bits/s_aadya,IT01A_jitterBufferDelay/emissions_ellen,IT01A_jitterBufferDelay/emissions_aadya,OT01V_packetsSent/s_ellen,OT01V_packetsSent/s_aadya,OT01V_bytesSent_in_bits/s_ellen,OT01V_bytesSent_in_bits/s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
210,33.39923602724244,159.41089969874335,0.0,0.0,640.0,1280.0,360.0,720.0,1.7386000000000004,0.203,24.0,30.0,204983.3168873414,1348293.0440676177,57.3510524,49.401374000000004,0.022200000000000004,0.012,225.33304072727276,91.4632165217391,0.0,0.0,300.496363636364,67.21580547112474,0.0,0.0,0.0,0.0,1280.0,640.0,30.0,19.0,4.3234259,66.2805954,0.0010985370950887699,65.73363280632438,0.7742858,0.33299999999999996,0.0,0.0,0.0,0.0,0.7731964,0.37041499999999994,0.7715148000000001,0.37030939999999996,55350.881523,98717.761344
211,86.41620479398377,28.379640990918354,0.0,0.0,1280.0,640.0,720.0,360.0,0.0,2.765,29.0,14.200000000000001,650221.950832399,172616.73045012125,70.816618,80.082942,0.023,0.03920000000000001,157.74502021505378,275.70103333333344,0.0,0.0,185.97999999999965,468.1575000000002,0.0,0.0,0.0,0.0,640.0,1280.0,8.0,30.0,75.9531282,60.26547540000001,63.01549485645919,41.660657904761976,0.6047822000000003,0.34581749999999994,0.0,0.0,0.0,0.0,0.445111,0.32987199999999994,0.457935,0.3746035,57355.021766699996,98804.126352
212,163.15445229172371,30.99554206254757,0.0,0.0,1280.0,480.0,720.0,270.0,0.0,0.0,30.0,21.6,1377393.6592988058,208095.62951515993,28.506252000000003,40.697301,0.011,0.017,45.664759999999966,85.88823859649125,0.0,0.0,37.30095238095238,117.57872340425534,0.0,0.0,0.0,0.0,480.0,1280.0,25.5,30.0,24.983492000000002,0.7488180999999999,95.98520000000003,0.00078156398654106,0.1761868,0.12111519999999999,0.0,0.0,0.0,0.0,0.143372,0.1216124999999999,0.1771164999999999,0.13336199999999995,58435.468194600006,101517.63648
213,42.980843515232586,157.38897591203082,0.0,0.0,480.0,1280.0,270.0,720.0,0.0,0.0,29.0,29.4,268336.72339062125,1342424.0108105175,9.222442200000001,36.8551294,0.013000000000000006,0.014,18.790210588235297,54.125259999999955,0.0,0.0,67.04,37.19589743589744,0.0,0.0,0.0,0.0,1280.0,480.0,30.0,30.0,1.032534,15.2027368,0.001226761347813481,0.0006617537313398206,0.7772582,0.27088949999999995,0.0,0.0,0.0,0.0,0.7833279999999999,0.2711334999999999,0.7835235999999999,0.27095939999999996,55309.602159,98977.42416000001
214,48.790635485756404,40.78641730380273,0.0,0.0,960.0,640.0,540.0,360.0,0.0,0.289,19.5,28.0,374720.22712364193,260066.81104205994,61.4465026,68.527011,0.034600000000000006,0.015,179.12726848635236,165.29572666666678,0.0,0.0,324.66367346938773,145.88000000000002,0.0,0.0,0.0,0.0,640.0,960.0,30.0,13.6,43.7540682,69.3263728,62.62905269016698,52.66590714285719,0.8131209,0.297455,0.0,0.0,0.0,0.0,0.8232284999999999,0.291,0.8377228,0.3095642,54683.70012,99084.97113600001
215,70.25917844527659,41.52858797021486,0.0,0.0,1280.0,640.0,720.0,360.0,0.0,0.0,28.2,28.4,517123.14588465524,258185.8338091689,44.7173608,66.00905599999999,0.023,0.0165,111.21642064516134,136.25829032258065,0.0,0.0,267.0710526315791,134.27999999999997,0.0,0.0,0.0,0.0,640.0,1280.0,29.0,27.5,31.6121288,70.67361509999999,63.85828493617016,55.24028187038557,0.8316638,0.154625,0.0,0.0,0.0,0.0,0.8147323999999999,0.1284392,0.8139312,0.1597412,54758.7713736,101349.771456
216,71.19058465023065,57.999294457915575,0.0,0.0,1280.0,1280.0,720.0,720.0,0.256,0.49,25.0,29.0,538565.8618736651,421627.76384644664,54.9193264,101.0186255,0.026800000000000004,0.0225,176.90308571428577,263.5607319243604,0.0,0.0,143.23717948717945,354.0903030303029,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,24.5,40.45873460000005,175.1204787,26.010439519359178,85.27738290825678,0.3202777,0.15041349999999995,0.0,0.0,0.0,0.0,0.29197399999999996,0.1638914,0.37790200000000007,0.176117,58228.400172600006,101391.415488
217,28.130922383568098,34.59407470158118,0.0,0.0,640.0,480.0,360.0,270.0,1.575,0.2,6.6000000000000005,28.2,181372.19040081912,155867.00953953093,69.26878599999999,26.4494198,0.02425,0.0167,272.1486349462366,77.37341999999998,0.0,0.0,350.1261343012704,132.82181818181806,0.0,0.0,0.0,0.0,480.0,640.0,28.0,17.5,23.575507050000002,19.444071800000014,26.121428684376966,29.595433155080215,0.4607702,0.8881712999999999,0.0,0.0,0.0,0.0,0.4676281999999999,0.9408814000000002,0.46222949999999996,0.871475,58364.9177643,92083.6056
218,38.38523336077433,66.98157881949501,0.0,0.0,960.0,1280.0,540.0,720.0,0.0,0.0,26.2,26.0,334145.61370177404,488059.14173382317,35.401666500000005,66.4554895,0.03975,0.0215,291.5791939655172,162.55922500000005,0.0,0.0,58.209899867749854,190.41999999999996,0.0,0.0,0.0,0.0,1280.0,960.0,25.900000000000002,13.0,49.618817100000015,127.9344974,44.74152557545977,7.727156071211206,0.82860275,0.12329849999999995,0.0,0.0,0.0,0.0,0.7867902999999998,0.12402349999999995,0.8256109999999999,0.1236146,56227.3963209,100124.72059200001
219,163.93979985088407,158.90745338581513,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1391299.7610864118,1351314.1835093384,30.937341,25.846947,0.01074999999999995,0.011,43.83592916666667,37.25338333333334,0.0,0.0,36.850899018575824,38.15935483870969,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,29.0,0.71479645,0.6501779,0.00117568212914762,0.0007733886010363702,0.12652975,0.12838419999999995,0.0,0.0,0.0,0.0,0.1265145,0.13703279999999998,0.13256075,0.12444479999999991,61170.726330000005,101086.568256
