condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
9.0,500.0,25000,400,2.92,3.685,3.26,5000.0,50000,550,2.1305,1.8465,1.98,2.1305,1.8465,1.98
9.0,1000.0,2000,250,2.262,2.726,2.47,1000.0,25000,100,2.165,2.47,2.31,2.165,2.47,2.31
9.0,20000.0,50000,400,3.18,2.33,2.69,5000.0,50000,550,3.194,3.66,3.41,3.18,2.33,2.69
9.0,5000.0,25000,250,3.704,3.701,3.7,20000.0,5000,250,4.014,3.72,3.86,3.704,3.701,3.7
9.0,500.0,50000,100,1.836,3.6515,2.44,1000.0,25000,100,1.427,1.0015,1.18,1.427,1.0015,1.18
9.0,5000.0,50000,400,3.286,3.652,3.46,20000.0,5000,250,3.352,3.663,3.5,3.286,3.652,3.46
9.0,1000.0,2000,550,2.538,3.541,2.96,5000.0,50000,550,2.07,3.333,2.55,2.07,3.333,2.55
10.0,500.0,25000,250,3.194,3.5460000000000003,3.36,5000.0,50000,750,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1000.0,50000,550,1.0775,2.964,1.58,1000.0,12000,100,2.684,2.886,2.78,1.0775,2.886,1.58
10.0,5000.0,5000,100,4.18,3.6845,3.92,20000.0,5000,400,4.242,3.6415,3.92,4.18,3.6415,3.92
10.0,20000.0,50000,550,2.8615,3.7105,3.23,20000.0,5000,400,3.034,3.6325,3.31,2.8615,3.6325,3.23
10.0,500.0,2000,100,1.644,3.202,2.17,1000.0,12000,100,1.519,1.0,1.21,1.519,1.0,1.21
10.0,20000.0,5000,750,1.742,2.026,1.87,5000.0,50000,750,2.338,3.738,2.88,1.742,2.026,1.87
10.0,1000.0,5000,250,1.8675,2.1325,1.99,1000.0,12000,100,3.3625,2.846,3.08,1.8675,2.1325,1.99
10.0,5000.0,5000,550,1.562,2.814,2.01,5000.0,50000,750,1.13,3.0385,1.65,1.13,2.814,1.65
10.0,20000.0,50000,250,3.922,3.66,3.79,20000.0,5000,400,3.902,3.4330000000000003,3.65,3.902,3.4330000000000003,3.65
11.0,500.0,12000,100,3.654,2.4570000000000003,2.94,20000.0,5000,550,3.32,1.959,2.46,3.32,1.959,2.46
11.0,1000.0,5000,550,2.47,2.9715000000000003,2.7,1000.0,5000,100,3.73,3.002,3.33,2.47,2.9715000000000003,2.7
11.0,20000.0,2000,250,2.692,1.542,1.96,1000.0,50000,100,4.03,3.5575,3.78,2.692,1.542,1.96
11.0,5000.0,12000,250,3.9525,3.673,3.81,20000.0,5000,550,4.024,3.671,3.84,3.9525,3.671,3.81
11.0,500.0,5000,750,1.0,1.4465,1.18,1000.0,5000,100,1.6475000000000002,2.568,2.01,1.0,1.4465,1.18
11.0,5000.0,25000,550,1.388,1.712,1.53,1000.0,50000,100,4.262499999999999,3.5915,3.9,1.388,1.712,1.53
11.0,5000.0,5000,400,2.764,3.584,3.12,20000.0,5000,550,3.5815,3.67,3.63,2.764,3.584,3.12
11.0,1000.0,25000,750,1.033,3.329,1.58,1000.0,50000,100,3.016,2.6395,2.82,1.033,2.6395,1.58
11.0,1000.0,25000,750,1.0,3.156,1.52,1000.0,5000,100,3.903,3.363,3.61,1.0,3.156,1.52
12.0,1000.0,12000,750,1.348,2.776,1.81,20000.0,5000,750,1.2655,1.0,1.12,1.2655,1.0,1.12
12.0,500.0,25000,750,1.0,1.93,1.32,1000.0,50000,250,3.46,3.25,3.35,1.0,1.93,1.32
12.0,5000.0,25000,400,3.475,3.613,3.54,1000.0,2000,100,3.272,3.6345,3.44,3.272,3.613,3.44
12.0,5000.0,50000,750,1.708,3.9405,2.38,1000.0,2000,100,2.362,1.0,1.41,1.708,1.0,1.41
12.0,5000.0,50000,550,1.4755,3.4505000000000003,2.07,1000.0,50000,250,3.7615,3.5605,3.66,1.4755,3.4505000000000003,2.07
12.0,20000.0,5000,100,4.1850000000000005,3.71,3.93,20000.0,5000,750,3.903,3.58,3.73,3.903,3.58,3.73
12.0,500.0,12000,400,2.508,3.064,2.76,1000.0,50000,250,1.1375,1.1365,1.14,1.1375,1.1365,1.14
12.0,500.0,12000,250,1.257,3.48,1.85,1000.0,2000,100,1.509,3.783,2.16,1.257,3.48,1.85
12.0,20000.0,12000,250,3.95,3.73,3.84,20000.0,5000,750,3.99,3.66,3.82,3.95,3.66,3.82
13.0,500.0,5000,100,1.44,3.242,1.99,20000.0,2000,250,2.1825,3.69,2.74,1.44,3.242,1.99
13.0,500.0,2000,550,1.0015,1.754,1.27,1000.0,50000,400,1.0,1.0,1.0,1.0,1.0,1.0
13.0,20000.0,5000,100,3.0325,2.966,3.0,500.0,25000,100,3.53,3.4675,3.5,3.0325,2.966,3.0
13.0,500.0,25000,550,2.0,3.3315,2.5,500.0,25000,100,3.404,3.37,3.39,2.0,3.3315,2.5
13.0,5000.0,50000,550,1.3525,3.083,1.88,1000.0,50000,400,3.45,3.278,3.36,1.3525,3.083,1.88
13.0,500.0,2000,400,1.0,2.528,1.43,20000.0,2000,250,1.128,3.8555,1.75,1.0,2.528,1.43
13.0,1000.0,50000,550,2.24,3.67,2.78,20000.0,2000,250,2.3675,3.615,2.86,2.24,3.615,2.78
13.0,1000.0,12000,550,1.183,3.09,1.71,1000.0,50000,400,2.9175,3.29,3.09,1.183,3.09,1.71
13.0,20000.0,50000,750,1.0,2.223,1.38,500.0,25000,100,4.236000000000001,3.619,3.9,1.0,2.223,1.38
14.0,20000.0,25000,100,2.454,3.035,2.71,1000.0,50000,550,1.3575000000000002,1.0,1.15,1.3575000000000002,1.0,1.15
