condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
44.2,5000.0,5000,550,3.012,3.652,3.3,5000.0,5000,550,2.3474999999999997,3.146,2.69,2.3474999999999997,3.146,2.69
45.0,5000.0,5000,750,2.152,3.487,2.66,5000.0,5000,750,2.1625,3.182,2.58,2.152,3.182,2.58
45.1,5000.0,5000,750,2.3045,3.6109999999999998,2.81,5000.0,5000,750,1.6175000000000002,3.0749999999999997,2.12,1.6175000000000002,3.0749999999999997,2.12
45.2,5000.0,5000,750,1.952,3.181,2.42,5000.0,5000,750,1.96,2.2840000000000003,2.11,1.952,2.2840000000000003,2.11
46.0,5000.0,2000,100,2.9375,3.0465,2.99,5000.0,2000,100,3.1550000000000002,3.1350000000000002,3.14,2.9375,3.0465,2.99
46.1,5000.0,2000,100,4.195,3.442,3.78,5000.0,2000,100,3.4275,3.0955,3.25,3.4275,3.0955,3.25
46.2,5000.0,2000,100,3.3325,2.9019999999999997,3.1,5000.0,2000,100,3.0,3.175,3.09,3.0,2.9019999999999997,3.09
47.0,5000.0,2000,250,2.6999999999999997,3.2715,2.96,5000.0,2000,250,2.87,3.155,3.01,2.6999999999999997,3.155,2.96
47.1,5000.0,2000,250,3.41,3.411,3.41,5000.0,2000,250,3.0749999999999997,3.445,3.25,3.0749999999999997,3.411,3.25
47.2,5000.0,2000,250,2.2,3.326,2.65,5000.0,2000,250,3.209,3.392,3.3,2.2,3.326,2.65
48.0,5000.0,2000,400,2.205,3.52,2.71,5000.0,2000,400,2.307,2.81,2.53,2.205,2.81,2.53
48.1,5000.0,2000,400,2.458,3.3320000000000003,2.83,5000.0,2000,400,2.07,2.5,2.26,2.07,2.5,2.26
48.2,5000.0,2000,400,3.044,3.27,3.15,5000.0,2000,400,2.425,2.7675,2.58,2.425,2.7675,2.58
49.0,5000.0,2000,550,1.9625,3.49,2.51,5000.0,2000,550,2.456,2.462,2.46,1.9625,2.462,2.46
49.1,5000.0,2000,550,2.0875,2.994,2.46,5000.0,2000,550,1.865,3.3425,2.39,1.865,2.994,2.39
49.2,5000.0,2000,550,1.716,2.838,2.14,5000.0,2000,550,1.69,2.854,2.12,1.69,2.838,2.12
50.0,5000.0,2000,750,1.6245,3.3209999999999997,2.18,5000.0,2000,750,1.8425,2.852,2.24,1.6245,2.852,2.18
50.1,5000.0,2000,750,1.704,3.021,2.18,5000.0,2000,750,1.3575,2.626,1.79,1.3575,2.626,1.79
50.2,5000.0,2000,750,1.2305,3.303,1.79,5000.0,2000,750,1.3575,3.015,1.87,1.2305,3.015,1.79
51.0,1000.0,50000,100,2.852,2.8705,2.86,1000.0,50000,100,1.838,1.082,1.36,1.838,1.082,1.36
51.1,1000.0,50000,100,2.352,1.3240000000000003,1.69,1000.0,50000,100,2.2070000000000003,2.33,2.27,2.2070000000000003,1.3240000000000003,1.69
51.2,1000.0,50000,100,2.54,1.722,2.05,1000.0,50000,100,2.257,1.318,1.66,2.257,1.318,1.66
52.0,1000.0,50000,250,2.6940000000000004,3.0524999999999998,2.86,1000.0,50000,250,1.5325,1.048,1.24,1.5325,1.048,1.24
52.1,1000.0,50000,250,3.518,3.523,3.52,1000.0,50000,250,3.3569999999999998,3.2025,3.28,3.3569999999999998,3.2025,3.28
52.2,1000.0,50000,250,3.19,1.7,2.22,1000.0,50000,250,1.858,1.0,1.3,1.858,1.0,1.3
53.0,1000.0,50000,400,2.476,3.06,2.74,1000.0,50000,400,1.722,1.616,1.67,1.722,1.616,1.67
