identifier,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya,Upload,Download,Latency,Condition
145,162.33507267547154,163.47942907297178,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1376414.0282585712,1388972.735315906,37.6563442,27.0711262,0.012,0.014,54.36149999999997,49.26841419354839,2081.418819521836,23412.13767778216,37.72173913043479,39.11914893617018,166.94782724911278,160.19192118396052,1425431.098663193,1369921.5360820438,1280.0,1280.0,29.0,29.0,7.7014636,8.371207,0.0012937927423826,2.566508580587955,0.0722107999999999,0.5709718,0.0,0.0,0.0,0.0,0.0735805999999999,0.571072,0.0722257999999999,0.5710814,65083.1494698,99379.80528,20000,25000,550,65.0
146,157.76305099550868,161.9719034507597,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.1,30.0,1312688.5169632498,1366545.2327339982,49.56326920000001,26.2555374,0.011,0.012,87.15563806451613,44.37186666666668,3997.025696759771,25799.63066652311,39.950000000000045,39.80000000000003,160.49069732563402,154.53848766000763,1352064.556933422,1297653.5242607307,1280.0,1280.0,30.0,30.0,4.2108816,15.494190200000002,0.0012174343534656,2.628619183673473,0.0707949,0.5705155,0.0,0.0,0.0,0.0,0.0699249,0.5702482,0.0701873999999999,0.5713779,64107.216205200006,98627.319456,20000,25000,550,65.1
147,37.17566325132269,126.21104326139856,0.0,0.0,640.0,1280.0,360.0,720.0,2.301,0.0,28.0,29.0,193272.06253492908,1012707.2841993016,65.1683658,71.95805779999999,0.017,0.026,156.60095833333332,132.83403999999985,6792.636387042699,16883.78418153857,406.63764705882346,107.3358139534884,125.53689902470649,38.97310920299549,1050994.8942331215,207800.23675988807,1280.0,640.0,30.0,29.2,75.7049956,38.3566366,26.45049312339117,86.00157319347322,0.0729706,0.6106043999999999,0.0,0.0,0.0,0.0,0.071182,0.6008365999999999,0.0723814,0.6105716,65366.7803838,100009.644288,500,2000,550,80.1
148,86.264486833938,159.0154858370306,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.0,654635.0003956124,1357202.845056536,71.7654641,34.9779185,0.022,0.014,146.5712699999998,61.17492999999995,6008.209982407464,13187.30001993647,107.11206896551728,50.0,159.19384963111057,84.29813117886489,1356354.0990406182,647683.5087840195,1280.0,1280.0,30.0,29.3,6.1270451,37.4111747,0.4461703737971866,30.21893199845975,0.0712093,0.8112499999999999,0.0,0.0,0.0,0.0,0.071918,0.8368625,0.0709212999999999,0.8108852999999999,65151.2990079,96464.33184,1000,12000,750,91.2
149,163.3500245694546,164.1084363588509,0.0,0.0,1280.0,1280.0,720.0,720.0,0.532,0.0,29.1,29.0,1395151.8138149509,1378490.4413223818,72.9039459,52.6564807,0.0119,0.025,165.60571935483873,113.58207258064506,15324.786745221689,20308.03980337999,40.000000000000014,48.98,165.23421961552577,162.32946946787757,1409899.013604817,1380395.4151518058,1280.0,1280.0,30.0,29.0,62.01567510000003,8.849917,14.701094147947968,2.14031795120283,0.072545,0.5799908,0.0,0.0,0.0,0.0,0.0721544,0.5797026,0.075185,0.5797167,64272.2459022,98171.316768,20000,2000,550,77.2
150,158.3600646680192,162.5620852566558,0.0,0.0,1280.0,1280.0,720.0,720.0,0.424,0.0,30.0,29.2,1338770.2762110005,1366892.585413254,46.8426664,38.192310600000006,0.011,0.0206,98.78587268817208,74.17793999999999,1702.2532368529698,21501.543097891423,56.17604355716886,51.392727272727214,159.9943162695873,154.22169795163356,1359176.6401727533,1303333.4472759606,1280.0,1280.0,29.0,29.0,6.6521126,4.7869704,2.703772635612018,0.0007672507880555,0.0717712,0.4201142,0.0,0.0,0.0,0.0,0.0710054,0.4230067999999999,0.072113,0.4297024,64154.2019328,100778.101728,5000,25000,400,46.2
151,68.98795412242694,150.38292490577646,0.0,0.0,960.0,1280.0,540.0,720.0,0.0,0.0,29.0,29.3,504534.4281186867,1235375.268603644,73.3471374,58.1263179,0.022,0.026,172.92386666666667,103.13132666666664,1231.3616534303353,17679.33625141011,365.29020979020976,75.41999999999997,159.7176270576775,67.16606651456094,1351534.6548758117,486729.6396953934,1280.0,960.0,30.0,30.0,46.1495829,65.3564284,8.701634800664438,63.421137281586,0.0725526999999999,0.4630305999999999,0.0,0.0,0.0,0.0,0.0733261999999999,0.4643784999999999,0.072966,0.4768906999999999,65209.0793571,101826.623664,1000,2000,400,59.2
152,39.19246315717088,163.58619378944766,0.0,0.0,640.0,1280.0,360.0,720.0,1.709,0.0,29.0,30.0,226174.8871615888,1387935.8457514255,49.0400204,32.0778018,0.0178,0.0148,177.00400000000008,48.30514666666669,17003.465502680676,24757.02418032425,419.21419354838713,49.95121951219513,150.1211869332739,38.18660599694977,1257576.6658905328,218540.4738425272,1280.0,640.0,30.0,29.0,1.0404330000000002,40.826737,0.0012115684093437,99.9108470238096,0.070953,0.321799,0.0,0.0,0.0,0.0,0.0706605999999999,0.3878293999999999,0.0707948,0.3678924,63868.7006496,102624.989184,500,5000,250,36.1
153,83.32733008075978,165.61540285624284,0.0,0.0,1280.0,1280.0,720.0,720.0,0.273,0.0,27.6,30.0,607994.6693612846,1409456.6696353166,85.44143919999999,31.3673539,0.0226999999999999,0.014,209.32868999999985,49.43423666666662,6986.628900705742,24921.63722626907,292.39323467230435,40.29333333333332,166.3292060663826,80.49332425107505,1414070.9940110887,591018.2016980717,1280.0,1280.0,30.0,30.0,1.1384069,122.7398741,0.0011896356906289,72.58989595959586,0.0728012999999999,0.3100646999999999,0.0,0.0,0.0,0.0,0.0735075999999999,0.3224121,0.0728333999999999,0.3030000999999999,65269.7628975,104853.794928,1000,25000,250,27.2
154,167.15846886782995,85.817581359204,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.2,26.4,1385568.9903190357,656880.9655104263,37.6327512,42.0908632,0.0128,0.027,57.2103066666666,128.1192193548387,8888.407472047342,28853.23250620564,40.00000000000005,75.35999999999997,94.97666207602737,162.11472860897845,724623.3313713083,1382623.0495138594,1280.0,1280.0,30.0,29.0,101.8633558,9.4115976,16.161433519238372,2.5758612021857945,0.0714658,0.7780182,0.0,0.0,0.0,0.0,0.070828,0.7771849999999999,0.0709469999999999,0.7776126,65195.7777828,96665.929056,20000,2000,750,97.1
