
Inbound Video
Aadya-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320.0,320.0,320.0,320.0,320.0,320.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,-1,-1,-1,-1,-1,-1,-1
Ellen-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.0,31.0,30.0,30.0,30.0,31.0,30.0,30.0,30.0,31.0,31.0,30.0,30.0,31.0,-1,-1,-1,-1,-1,-1,-1
Aadya-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.0,29.0,29.0,30.0,30.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-1,-1,-1,-1,-1,-1,-1
Ellen-totalPacketSendDelay,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,4.9999999999999996e-06,0.326086,0.326211,0.326355,0.326476,0.326665,0.326776,0.326916,0.327038,0.327159,0.3273,0.327457,0.327599,0.327752,-1,-1,-1,-1,-1,-1,-1
Aadya-totalPacketSendDelay,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238642,0.238648,0.238652,0.238673,0.23867999999999998,0.23868699999999998,5.951318,6.5271289999999995,6.527225,6.52736,6.846476999999999,6.84661,7.089172,7.0892729999999995,7.089409,-1,-1,-1,-1,-1,-1,-1
Ellen-[totalPacketSendDelay/packetsSent_in_ms],-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,-0.0002,3.7480574712643677,0.0008116883116882223,0.0007955801104974197,0.0006759776536311857,0.0009219512195121694,0.0007115384615386394,0.0007999999999998485,0.0007093023255814592,0.0006994219653178163,0.0007877094972067164,0.0008971428571429614,0.0008452380952379494,0.0008793103448276681,-1,-1,-1,-1,-1,-1,-1
Aadya-[totalPacketSendDelay/packetsSent_in_ms],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.515777777777778,0.0001764705882354706,0.00011764705882364708,0.00044680851063815414,0.00020588235294056602,0.00020588235294138237,-168.01855882352942,4.798424999999998,0.0005783132530126266,0.0007758620689667717,1.65345595854922,0.0006963350785383608,1.2766421052631554,0.0006733333333327114,0.000727272727274642,-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationReason,-1,-1,-1,-1,-1,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""bandwidth""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""",-1,-1,-1,-1,-1,-1,-1
Aadya-qualityLimitationReason,-1,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""",-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationDurations,-1,-1,-1,-1,-1,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.7","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.701000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.701000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.7","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.701","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":22.701","\""other\"":0}""","""{\""bandwidth\"":0.022","\""cpu\"":0","\""none\"":23.678","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.523","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.382","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.44","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.38","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.38","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.381","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.381","\""other\"":0}""",-1,-1,-1,-1,-1,-1,-1
