
Inbound Video
Ellen-qualityLimitationDurations,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.24","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.242","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.24","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.24","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.24","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.241","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.241","\""other\"":0}""","""{\""bandwidth\"":0.05","\""cpu\"":0","\""none\"":22.19","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.585","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.585","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.874","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.874","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.875","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.874","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.874","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.875","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.875","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.874","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.875","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.877000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.972","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.972","\""other\"":0}""",-1
Ellen-qualityLimitationResolutionChanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1

Remote Inbound Video
Ellen-roundTripTime,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.419662,0.41867099999999996,0.41883899999999996,0.41816699999999996,0.42120399999999997,0.420639,0.42073099999999997,0.420135,0.424515,0.4216,0.41961699999999996,0.41970799999999997,0.41877699999999995,0.42086799999999996,-1
Ellen-fractionLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1

Remote Inbound Audio
Ellen-fractionLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1

Remote Outbound Audio
Ellen-roundTripTime,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.418427,0.418854,0.41850299999999996,0.41848799999999997,0.420776,0.419495,0.421371,0.420135,0.42341599999999996,0.423935,0.420929,0.421295,0.420975,0.42244,-1

Source Video
Ellen-width,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0
Ellen-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,30.249110320284696,30.0,30.09259259259259,29.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,30.0,30.11422637590862,30.0,-1

Audio Playback
Ellen-totalPlayoutDelay,0.0,1076.082777,2298.752631,3521.062188,4743.14463,5965.595748,7187.975424,8410.197663,9632.349342,10854.798255,12076.848504,13298.950791,14521.551849,15743.900655,16966.192131,18188.89065,19411.582113,20634.105114,21856.516542,23078.578698,24300.762129,25523.205309,26708.615073,27931.104999,29154.329631,30377.281284,31599.982449,32822.293329,34044.655365,35266.964481,36489.524085,37711.883916,38934.293139,40156.673697,41391.173817,42601.087305,43823.190033,44214.215031
