
Inbound Video
Ellen-totalPacketSendDelay,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,2.4e-05,0.04312,0.043206999999999995,0.043356,0.04349,0.043615999999999995,0.043759,0.043873999999999996,0.04403,0.04416,0.044293,0.04444,0.044596,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-totalPacketSendDelay,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24339999999999998,0.24340599999999998,0.221234,2.521902,2.521992,2.522107,2.5222189999999998,2.52235,2.522446,2.522592,2.522687,2.5228099999999998,2.522916,2.523039,2.523151,-1,-1,-1,-1,-1,-1,-1
Ellen-[totalPacketSendDelay/packetsSent_in_ms],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002857142857142857,0.0005263157894736843,2.1548,0.0006492537313432597,0.000796791443850285,0.0008322981366459762,0.0006737967914438192,0.0007814207650273455,0.0006497175141242771,0.0008715083798882868,0.0007647058823529305,0.0007307692307692372,0.0008497109826589669,0.0008210526315789285,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-[totalPacketSendDelay/packetsSent_in_ms],-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04444444444444,0.00016666666666683336,-4.4344,19.497186440677964,0.0006569343065704053,0.0006497175141247866,0.0006256983240204912,0.000658291457286951,0.0006274509803927844,0.000824858757062031,0.0005191256830598701,0.0006089108910884813,0.0006973684210536943,0.0007546012269930872,0.0006400000000006401,-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationReason,-1,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""",-1,-1,-1,-1,-1,-1,-1,-1
Aadya-qualityLimitationReason,-1,-1,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""",-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationDurations,-1,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.926","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.925000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.923999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":22.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":23.924","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":24.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":25.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":26.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":27.925","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.347","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.347","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.419","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.419","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.419","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.419","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.419","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.42","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.42","\""other\"":0}""",-1,-1,-1,-1,-1,-1,-1,-1
Aadya-qualityLimitationDurations,-1,-1,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.672","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.673999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.672","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":22.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":23.674","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":24.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":25.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":26.673","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.115","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.114","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.146","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.142","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.142","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.142","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.141","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.142","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.141","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.141","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.141999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.141999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.141","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.142","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.14","\""other\"":0}""",-1,-1,-1,-1,-1,-1,-1
Ellen-qualityLimitationResolutionChanges,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-qualityLimitationResolutionChanges,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1
