
Inbound Video
Aadya-qualityLimitationDurations,"""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.364","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.364","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.364","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":0.6860000000000001","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":1.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":2.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":3.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":4.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":5.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":6.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":7.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":8.683999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":9.683999999999999","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":10.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":11.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":12.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":13.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":14.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":15.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":16.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":17.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":18.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":19.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":20.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":21.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":22.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":23.685","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":24.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":25.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":26.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":27.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":28.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":29.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":30.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":31.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":32.683","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":33.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":34.684","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":35.687","\""other\"":0}""","""{\""bandwidth\"":0","\""cpu\"":0","\""none\"":36.684","\""other\"":0}"""
Aadya-qualityLimitationResolutionChanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Remote Inbound Video
Aadya-roundTripTime,-1,-1,-1,0.07135,0.071121,0.072189,0.076569,0.06990099999999999,0.075348,0.07099899999999999,0.074448,0.071045,0.071716,0.085434,0.083954,0.06990099999999999,0.07113599999999999,0.07054099999999999,0.082718,0.08370999999999999,0.09580999999999999,0.08230599999999999,0.082657,0.073334,0.086945,0.094543,0.085938,0.073669,0.068863,0.069183,0.06945799999999999,0.069321,0.071686,0.071945,0.071503,0.07016,0.07016,0.073502,0.071228,-1
Aadya-fractionLost,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,-1

Remote Inbound Audio
Aadya-fractionLost,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0,0.0,0.07421875,0.015625,0.015625,0.0234375,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,-1

